,,,,mae,mae,rmse,rmse,r2,r2,spearman,spearman
,,,,mean,std,mean,std,mean,std,mean,std
analysis,domain,model,group,,,,,,,,
density_quartile,osm,direct_no_coordinates,Q4,0.20118154371207994,0.0247960239306001,0.3995502323556412,0.027948096156081452,-0.8395358301581073,0.20449043078189263,0.6444481506606557,0.04702253471546773
density_quartile,osm,direct_no_fiedler,Q1,0.07677995359802432,0.011705025005977043,0.2124351548665362,0.028663197719863958,0.7899223551370987,0.05556622932483855,0.8776627534610857,0.011282724422601743
density_quartile,osm,direct_no_fiedler,Q2,0.0889722305564387,0.01844382035975345,0.24914418115691803,0.03497226746339063,0.6988695862975833,0.08395531691465094,0.869583776096607,0.03771422675516334
density_quartile,osm,direct_no_fiedler,Q3,0.04598706177532105,0.018988844351100376,0.12074785976669641,0.056335102431232575,0.9173610501012943,0.07797861315603659,0.8839728219408945,0.024785258400998284
density_quartile,osm,direct_no_fiedler,Q4,0.18528427780708795,0.013151818285467924,0.3864521578983801,0.01574420041226984,-0.7312572889496016,0.2383460413000393,0.6421730846342119,0.04902281513946368
density_quartile,osm,residual_full,Q1,0.0608864711748028,0.02095846394684717,0.1842514965747711,0.045340774014695946,0.8344106466250732,0.08209148737130534,0.9020949629861741,0.0387706955149442
density_quartile,osm,residual_full,Q2,0.08872274257346516,0.02536887312941254,0.24187243330708963,0.04356329330586053,0.7063414470968896,0.1086242309046396,0.9122722549493625,0.01377886186190783
density_quartile,osm,residual_full,Q3,0.04137844485251223,0.023455233670308762,0.11671706386111491,0.06500856313055156,0.9178928691867412,0.09292601009225139,0.9450765985732176,0.01998638922078441
density_quartile,osm,residual_full,Q4,0.18898153858244895,0.015527214176462344,0.3884836509953679,0.015509549350250777,-0.7367202965362242,0.07456808725995837,0.6584928756743239,0.01445714927084875
density_quartile,osm,residual_no_coordinates,Q1,0.059427605031443065,0.013749190906948469,0.18605902336478986,0.03532469321570531,0.8348024524120273,0.05779262199165757,0.9048857600462028,0.03423659526993619
density_quartile,osm,residual_no_coordinates,Q2,0.08892931029500653,0.015758805640313282,0.2380518041908451,0.01998482112778568,0.7089724739933909,0.05104694189716196,0.9296695567292567,0.023834596535667957
density_quartile,osm,residual_no_coordinates,Q3,0.06734137000451641,0.02281031519009863,0.20295028608290927,0.049571012627803814,0.8006353558700956,0.09768356837881718,0.9136436899254676,0.018835364900411843
density_quartile,osm,residual_no_coordinates,Q4,0.1976217934099557,0.0300422818329186,0.39631494281428836,0.038652946244074685,-0.8202277822870551,0.35048913727121017,0.6553775379695532,0.023425919357587918
density_quartile,osm,residual_no_fiedler,Q1,0.05912379977896172,0.009892313472589767,0.181318161809857,0.025303324328582007,0.8448217230093809,0.04457251048458658,0.9118989116091502,0.027551767583841882
density_quartile,osm,residual_no_fiedler,Q2,0.08858628377126102,0.009359548340994898,0.24433725906358142,0.013105608638647166,0.705359000676938,0.030729810735124024,0.9073953308860763,0.028869049701056602
density_quartile,osm,residual_no_fiedler,Q3,0.041243958108231935,0.014374164295507412,0.12245818506295766,0.037039651931994,0.9258943304267959,0.04259552047610923,0.9360917679803065,0.023417500491384892
density_quartile,osm,residual_no_fiedler,Q4,0.1813487619940355,0.014202021049006761,0.37819636050223393,0.013588552114848223,-0.6551898261520996,0.1966222890411008,0.6491813306299961,0.026023796892280685
density_quartile,osm,spectral,Q1,0.4160492933235558,0.028959323542782415,0.6216910869727343,0.024038754800646316,-0.7906017127932625,0.09162306036243688,0.3764457824098737,0.05952769985542396
