area,country,nodes,edges,seed,failure_mode,model,mae,n,eigengap
chiang_mai,Thailand,1259.0,1661.0,11,independent,spectral,0.6584418135702207,20,0.4949533208801417
chiang_mai,Thailand,1259.0,1661.0,11,independent,spectral_second_order,0.6553086868791154,20,0.4949533208801417
chiang_mai,Thailand,1259.0,1661.0,11,spatial_cluster,direct_edge_mpnn,0.04643600030667077,20,0.4949533208801417
chiang_mai,Thailand,1259.0,1661.0,11,spatial_cluster,direct_full,0.06479717238671076,20,0.4949533208801417
chiang_mai,Thailand,1259.0,1661.0,11,spatial_cluster,direct_sage,0.15872233926183474,20,0.4949533208801417
chiang_mai,Thailand,1259.0,1661.0,11,spatial_cluster,residual_edge_mpnn,0.03937331076576302,20,0.4949533208801417
chiang_mai,Thailand,1259.0,1661.0,11,spatial_cluster,residual_full,0.04183691975795735,20,0.4949533208801417
chiang_mai,Thailand,1259.0,1661.0,11,spatial_cluster,residual_sage,0.1118974850805949,20,0.4949533208801417
chiang_mai,Thailand,1259.0,1661.0,11,spatial_cluster,spectral,0.7998130270872428,20,0.4949533208801417
chiang_mai,Thailand,1259.0,1661.0,11,spatial_cluster,spectral_second_order,0.7997970843149392,20,0.4949533208801417
chiang_mai,Thailand,1259.0,1661.0,11,targeted,direct_edge_mpnn,0.2562016795391157,20,0.4949533208801417
chiang_mai,Thailand,1259.0,1661.0,11,targeted,direct_full,0.24220433675787723,20,0.4949533208801417
